id,product_id,bidder_id,amount,bid_timestamp
1,1,TestBot,24010,2025-12-17T03:42:09.020949
2,1,Testing User,24133,2025-12-17T03:42:55.440169
3,2,Testing User,150,2025-12-17T03:43:40.491237
4,3,0001,81001,2025-12-17T11:55:56.816609
5,3,Testing User,81051,2025-12-17T13:12:05.555343
6,3,0001,81052,2025-12-17T13:24:49.333405
7,5,1244,18201,2025-12-29T13:51:50.710766
8,8,1244,1112,2026-01-02T14:36:09.235439
9,8,1253,1115,2026-01-02T15:22:09.380121
10,8,1244,9999,2026-01-02T15:22:18.500681
11,8,1244,10111,2026-01-05T16:24:50.460718
12,7,1244,1346,2026-01-05T16:30:26.751166
13,7,1253,1469,2026-01-05T16:31:43.847812
14,7,1244,1592,2026-01-05T16:34:16.924392
15,7,1253,1715,2026-01-05T16:34:25.237597
16,7,1244,1838,2026-01-05T16:36:56.108401
17,7,1253,1961,2026-01-05T16:37:00.064191
18,7,1244,2084,2026-01-05T16:39:58.479737
19,2,1244,160,2026-01-06T08:38:13.245476
20,2,1253,170,2026-01-06T08:39:28.212683
21,2,1244,180,2026-01-06T08:39:32.484967
22,2,1253,190,2026-01-06T08:39:35.866614
23,2,0001,200,2026-01-06T08:40:49.558849
24,2,1244,210,2026-01-06T08:55:56.292072
25,2,1253,220,2026-01-06T08:56:06.568933
26,9,1244,550,2026-01-06T13:31:30.748617
27,9,1253,600,2026-01-06T13:31:43.348049
28,10,1244,8100,2026-01-06T14:15:54.875655
29,10,1253,8910,2026-01-06T14:16:02.901225
30,10,1244,9720,2026-01-06T14:16:06.433170
31,10,1253,10530,2026-01-06T14:16:16.606233
32,10,1244,11340,2026-01-06T14:17:00.854987
33,10,1253,12150,2026-01-06T14:17:51.070852
34,10,1244,12960,2026-01-06T14:17:54.153454
35,10,1253,13770,2026-01-06T14:21:43.822258
36,10,1244,14580,2026-01-06T14:21:50.669662
37,10,1253,15390,2026-01-06T14:21:55.709828
38,10,1244,16200,2026-01-06T14:26:50.239977
39,10,1253,17010,2026-01-06T14:29:48.296979
40,10,1244,17820,2026-01-06T14:29:51.115559
41,10,1253,18630,2026-01-06T14:29:56.559505
42,10,1244,19440,2026-01-06T14:32:50.812756
43,10,1253,20250,2026-01-06T14:32:55.826433
44,10,1244,21060,2026-01-06T14:36:50.560765
45,10,1253,21870,2026-01-06T14:36:54.090103
